db_name,ionized_mass;
Hex2Cer 38:1;O2 [M+H-H2O]+,900.6771
Hex2Cer 38:2;O2 [M+H]+,916.6720
Hex2Cer 38:2;O2 [M+H-H2O]+,898.6614
Hex2Cer 38:3;O2 [M+H]+,914.6563
Hex2Cer 38:3;O2 [M+H-H2O]+,896.6458
Hex2Cer 39:1;O2 [M+H]+,932.7033
Hex2Cer 39:1;O2 [M+H-H2O]+,914.6927
Hex2Cer 40:1;O2 [M+H]+,946.7189
Hex2Cer 40:1;O2 [M+H-H2O]+,928.7084
Hex2Cer 40:2;O2 [M+H]+,944.7033
Hex2Cer 40:2;O2 [M+H-H2O]+,926.6927
Hex2Cer 40:3;O2 [M+H]+,942.6876
Hex2Cer 40:3;O2 [M+H-H2O]+,924.6771
Hex2Cer 40:4;O2 [M+H]+,940.6720
Hex2Cer 40:4;O2 [M+H-H2O]+,922.6614
Hex2Cer 41:1;O2 [M+H]+,960.7346
Hex2Cer 41:1;O2 [M+H-H2O]+,942.7240
Hex2Cer 41:2;O2 [M+H]+,958.7189
Hex2Cer 41:2;O2 [M+H-H2O]+,940.7084
Hex2Cer 42:1;O2 [M+H]+,974.7502
Hex2Cer 42:1;O2 [M+H-H2O]+,956.7397
Hex2Cer 42:2;O2 [M+H]+,972.7346
Hex2Cer 42:2;O2 [M+H-H2O]+,954.7240
Hex2Cer 42:3;O2 [M+H]+,970.7189
Hex2Cer 42:3;O2 [M+H-H2O]+,952.7084
Hex2Cer 42:4;O2 [M+H]+,968.7033
Hex2Cer 42:4;O2 [M+H-H2O]+,950.6927
Hex2Cer 43:1;O2 [M+H]+,988.7659
Hex2Cer 43:1;O2 [M+H-H2O]+,970.7553
Hex2Cer 43:2;O2 [M+H]+,986.7502
Hex2Cer 43:2;O2 [M+H-H2O]+,968.7397
Hex2Cer 43:3;O2 [M+H]+,984.7346
Hex2Cer 43:3;O2 [M+H-H2O]+,966.7240
Hex2Cer 44:1;O2 [M+H]+,1002.7815
Hex2Cer 44:1;O2 [M+H-H2O]+,984.7710
Hex2Cer 44:2;O2 [M+H]+,1000.7659
Hex2Cer 44:2;O2 [M+H-H2O]+,982.7553
Hex2Cer 44:3;O2 [M+H]+,998.7502
Hex2Cer 44:3;O2 [M+H-H2O]+,980.7397
Hex2Cer 44:4;O2 [M+H]+,996.7346
Hex2Cer 44:4;O2 [M+H-H2O]+,978.7240
HexCer 32:1;O2 [M+H]+,672.5409
HexCer 32:1;O2 [M+H-H2O]+,654.5303
HexCer 32:2;O2 [M+H]+,670.5252
HexCer 32:2;O2 [M+H-H2O]+,652.5147
HexCer 33:1;O2 [M+H]+,686.5565
HexCer 33:1;O2 [M+H-H2O]+,668.5460
HexCer 34:1;O2 [M+H]+,700.5722
HexCer 34:1;O2 [M+H-H2O]+,682.5616
HexCer 34:2;O2 [M+H]+,698.5565
HexCer 34:2;O2 [M+H-H2O]+,680.5460
HexCer 35:1;O2 [M+H]+,714.5878
HexCer 35:1;O2 [M+H-H2O]+,696.5773
HexCer 35:2;O2 [M+H]+,712.5722
HexCer 35:2;O2 [M+H-H2O]+,694.5616
HexCer 36:1;O2 [M+H]+,728.6035
HexCer 36:1;O2 [M+H-H2O]+,710.5929
HexCer 36:2;O2 [M+H]+,726.5878
HexCer 36:2;O2 [M+H-H2O]+,708.5773
HexCer 36:3;O2 [M+H]+,724.5722
HexCer 36:3;O2 [M+H-H2O]+,706.5616
HexCer 38:1;O2 [M+H]+,756.6348
HexCer 38:1;O2 [M+H-H2O]+,738.6242
HexCer 38:2;O2 [M+H]+,754.6191
HexCer 38:2;O2 [M+H-H2O]+,736.6086
HexCer 38:3;O2 [M+H]+,752.6035
HexCer 38:3;O2 [M+H-H2O]+,734.5929
HexCer 39:1;O2 [M+H]+,770.6504
HexCer 39:1;O2 [M+H-H2O]+,752.6399
HexCer 40:1;O2 [M+H]+,784.6661
HexCer 40:1;O2 [M+H-H2O]+,766.6555
HexCer 40:2;O2 [M+H]+,782.6504
HexCer 40:2;O2 [M+H-H2O]+,764.6399
HexCer 40:3;O2 [M+H]+,780.6348
HexCer 40:3;O2 [M+H-H2O]+,762.6242
HexCer 40:4;O2 [M+H]+,778.6191
HexCer 40:4;O2 [M+H-H2O]+,760.6086
HexCer 41:1;O2 [M+H]+,798.6817
HexCer 41:1;O2 [M+H-H2O]+,780.6712
HexCer 41:2;O2 [M+H]+,796.6661
HexCer 41:2;O2 [M+H-H2O]+,778.6555
HexCer 42:1;O2 [M+H]+,812.6974
HexCer 42:1;O2 [M+H-H2O]+,794.6868
HexCer 42:2;O2 [M+H]+,810.6817
HexCer 42:2;O2 [M+H-H2O]+,792.6712
HexCer 42:3;O2 [M+H]+,808.6661
HexCer 42:3;O2 [M+H-H2O]+,790.6555
HexCer 42:4;O2 [M+H]+,806.6504
HexCer 42:4;O2 [M+H-H2O]+,788.6399
HexCer 43:1;O2 [M+H]+,826.7130
HexCer 43:1;O2 [M+H-H2O]+,808.7025
HexCer 43:2;O2 [M+H]+,824.6974
HexCer 43:2;O2 [M+H-H2O]+,806.6868
HexCer 43:3;O2 [M+H]+,822.6817
HexCer 43:3;O2 [M+H-H2O]+,804.6712
HexCer 44:1;O2 [M+H]+,840.7287
HexCer 44:1;O2 [M+H-H2O]+,822.7181
HexCer 44:2;O2 [M+H]+,838.7130
HexCer 44:2;O2 [M+H-H2O]+,820.7025
HexCer 44:3;O2 [M+H]+,836.6974
HexCer 44:3;O2 [M+H-H2O]+,818.6868
HexCer 44:4;O2 [M+H]+,834.6817
HexCer 44:4;O2 [M+H-H2O]+,816.6712
LPA 14:0 [M+H]+,383.2193;
LPA 14:1 [M+H]+,381.2037;
LPA 16:0 [M+H]+,411.2506;
LPA 16:1 [M+H]+,409.2350;
LPA 18:0 [M+H]+,439.2819;
LPA 18:1 [M+H]+,437.2663;
LPA 18:2 [M+H]+,435.2506;
LPA 18:3 [M+H]+,433.2350;
LPA 18:4 [M+H]+,431.2193;
LPA 20:0 [M+H]+,467.3132;
LPA 20:1 [M+H]+,465.2976;
LPA 20:2 [M+H]+,463.2819;
LPA 20:3 [M+H]+,461.2663;
LPA 20:4 [M+H]+,459.2506;
LPA 20:5 [M+H]+,457.2350;
LPA 22:1 [M+H]+,493.3289;
LPA 22:4 [M+H]+,487.2819;
LPA 22:5 [M+H]+,485.2663;
LPA 22:6 [M+H]+,483.2506;
LPC 14:0 [M+H]+,468.3085;
LPC 14:1 [M+H]+,466.2928;
LPC 16:0 [M+H]+,496.3398;
LPC 16:1 [M+H]+,494.3241;
LPC 18:0 [M+H]+,524.3711;
LPC 18:1 [M+H]+,522.3554;
LPC 18:2 [M+H]+,520.3398;
LPC 18:3 [M+H]+,518.3241;
LPC 18:4 [M+H]+,516.3085;
LPC 20:0 [M+H]+,552.4024;
LPC 20:1 [M+H]+,550.3867;
LPC 20:2 [M+H]+,548.3711;
LPC 20:3 [M+H]+,546.3554;
LPC 20:4 [M+H]+,544.3398;
LPC 20:5 [M+H]+,542.3241;
LPC 22:1 [M+H]+,578.4180;
LPC 22:4 [M+H]+,572.3711;
LPC 22:5 [M+H]+,570.3554;
LPC 22:6 [M+H]+,568.3398;
LPE 14:0 [M+H]+,426.2615;
LPE 14:1 [M+H]+,424.2459;
LPE 16:0 [M+H]+,454.2928;
LPE 16:1 [M+H]+,452.2772;
LPE 18:0 [M+H]+,482.3241;
LPE 18:1 [M+H]+,480.3085;
LPE 18:2 [M+H]+,478.2928;
LPE 18:3 [M+H]+,476.2772;
LPE 18:4 [M+H]+,474.2615;
LPE 20:0 [M+H]+,510.3554;
LPE 20:1 [M+H]+,508.3398;
LPE 20:2 [M+H]+,506.3241;
LPE 20:3 [M+H]+,504.3085;
LPE 20:4 [M+H]+,502.2928;
LPE 20:5 [M+H]+,500.2772;
LPE 22:1 [M+H]+,536.3711;
LPE 22:4 [M+H]+,530.3241;
LPE 22:5 [M+H]+,528.3085;
LPE 22:6 [M+H]+,526.2928;
LPG 14:0 [M+H]+,457.2561;
LPG 14:1 [M+H]+,455.2404;
LPG 16:0 [M+H]+,485.2874;
LPG 16:1 [M+H]+,483.2717;
LPG 18:0 [M+H]+,513.3187;
LPG 18:1 [M+H]+,511.3030;
LPG 18:2 [M+H]+,509.2874;
LPG 18:3 [M+H]+,507.2717;
LPG 18:4 [M+H]+,505.2561;
LPG 20:0 [M+H]+,541.3500;
LPG 20:1 [M+H]+,539.3343;
LPG 20:2 [M+H]+,537.3187;
LPG 20:3 [M+H]+,535.3030;
LPG 20:4 [M+H]+,533.2874;
LPG 20:5 [M+H]+,531.2717;
LPG 22:1 [M+H]+,567.3656;
LPG 22:4 [M+H]+,561.3187;
LPG 22:5 [M+H]+,559.3030;
LPG 22:6 [M+H]+,557.2874;
LPI 14:0 [M+H]+,545.2721;
LPI 14:1 [M+H]+,543.2565;
LPI 16:0 [M+H]+,573.3034;
LPI 16:1 [M+H]+,571.2878;
LPI 18:0 [M+H]+,601.3347;
LPI 18:1 [M+H]+,599.3191;
LPI 18:2 [M+H]+,597.3034;
LPI 18:3 [M+H]+,595.2878;
LPI 18:4 [M+H]+,593.2721;
LPI 20:0 [M+H]+,629.3660;
LPI 20:1 [M+H]+,627.3504;
LPI 20:2 [M+H]+,625.3347;
LPI 20:3 [M+H]+,623.3191;
LPI 20:4 [M+H]+,621.3034;
LPI 20:5 [M+H]+,619.2878;
LPI 22:1 [M+H]+,655.3817;
LPI 22:4 [M+H]+,649.3347;
LPI 22:5 [M+H]+,647.3191;
LPI 22:6 [M+H]+,645.3034;
MG 14:0 [M+H-H2O]+,285.2424;
MG 14:1 [M+H-H2O]+,283.2268;
MG 16:0 [M+H-H2O]+,313.2737;
MG 16:1 [M+H-H2O]+,311.2581;
MG 18:0 [M+H-H2O]+,341.3050;
MG 18:1 [M+H-H2O]+,339.2894;
MG 18:2 [M+H-H2O]+,337.2737;
